Famille;Nuance;Numéro;Indice prix tonne;prix min;Indice prix ;prix max;prix réel 2018;prix estimé 2018;dernier prix connu;date d'application du dernier prix;taux d'inflation;prix min internet;prix max internet;incertitude prix ;Usinabilité;% outillage;Dureté en Hb;Rm en Mpa;Rp0.2 en Mpa;A%;Aptitude à la soudure;Traitement thermique;Aptitude au traitement thermique;Résistance à la corrosion;C;Si;Mn;P;S;N;Cr;Mo;Ni;Pb;B;V;Ceq;
;44SMn28;1.0762;;1383,00;1383,00;1383,00;1383,00;1383,00;1383;01/07/2018;;;;0%;62;5%;214,5;725;460;6;2;Trempe + revenu;1;n/a;0,44;0,2;1,5;0,03;0,285;0;0;0;0;0;0;0;0,69;
;ETG88;;;2000,00;2000,00;2000,00;2000,00;2000,00;2000;01/07/2018;;;;0%;80;5%;213,8;890;725;11,7;3;Pré-traité;0;n/a;0,45;0,13;1,5;0,02;0,289;0,01;0,1;0,02;0,08;0;0;0;0,73;
;ETG100;;;2000,00;2000,00;2000,00;2000,00;2000,00;2000;01/07/2018;;;;0%;75;5%;261;1012;895;6,8;3;Pré-traité;0;n/a;0,44;0,13;1,48;0,02;0,29;0,011;0,11;0,02;0,09;0;0;0;0,72;
;Vitac D950;;;1430,00;1430,00;1430,00;1430,00;1430,00;1430;01/07/2018;;;;0%;75;5%;245;1041;790;12;3;Pré-traité;0;n/a;0,445;0,419;1,409;0,008;0,301;0;0,222;0,052;0,175;0;0;0;0,75;
;VitacD830;;;1320,00;1320,00;1320,00;1320,00;1320,00;1320;01/07/2018;;;;0%;80;5%;289;922;660;12;3;Pré-traité;0;n/a;0,451;0,4;1,489;0,008;0,265;0;0,109;0,033;0,101;0;0;0,091;0,75;
;44SMnPb28;1.0763;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;75;5%;214,5;725;460;6;2;Trempe + revenu;1;n/a;0,44;0,2;1,5;0,03;0,285;0;0;0;0;0,25;0;0;0,69;
;46S20;1.0727;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;67;5%;200;675;400;7;2;Trempe + revenu;1;n/a;0,46;0,2;0,9;0,03;0,2;0;0;0;0;0;0;0;0,61;
;46SPb20;1.0757;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;85;5%;200;675;400;7;2;Trempe + revenu;1;n/a;0,46;0,2;0,9;0,03;0,2;0;0;0;0;0,25;0;0;0,61;
Acier de cémentation;C10R;1.1207;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;65;5%;127,5;430;250;10;1;Cémentation;1;n/a;0,1;0,2;0,45;0,0175;0,03;0;0;0;0;0;0;0;0,18;
;C15R;1.1140;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;67;5%;138;465;280;9;1;cémentation;1;n/a;0,15;0,2;0,45;0,0175;0,03;0;0;0;0;0;0;0;0,23;
;C16R;1.1208;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;67;5%;144,5;485;300;9;1;cémentation;1;n/a;0,15;0,2;0,75;0,0175;0,03;0;0;0;0;0;0;0;0,28;
;16MnCr5;1,7131;;1434,00;1434,00;1434,00;1434,00;1434,00;1434;01/07/2018;;;;0%;60;7%;197;950;650;9;2;Cémentation;1;n/a;0,155;0,194;1,15;0,01;0,027;0;1,036;0,057;0,126;0;0;0,005;0,57;
;16MnCrS5;1.7139;;1434,00;1434,00;1434,00;1434,00;1434,00;1434;01/07/2018;;;;0%;70;7%;207;950;650;9;2;cémentation;1;n/a;0,165;0,2;1,15;0,0175;0,03;0;0,95;0;0;0;0;0;0,55;L'ajout de bore permet d'augmenter la ténacité de la couche cémentée
;16MnCrB5;1.7160;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;65;7%;207;950;650;9;2;cémentation;1;n/a;0,165;0,2;1,15;0,0175;0,0175;0;0,95;0;0;0;0,0029;0;0,55;
;20MnCrS5;1.7149;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;70;7%;217;930;690;8;2;cémentation;1;n/a;0,195;0,2;1,25;0,0175;0,03;0;1,15;0;0;0;0;0;0,63;
;16NiCrS4;1.5715;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;70;7%;217;1125;735;10;2;cémentation;1;n/a;0,16;0,2;0,85;0,0175;0,02;0;0,8;0;0,95;0;0;0;0,53;
;15NiCr13;1.5752;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;60;7%;255;1030;745;9;2;cémentation;1;n/a;0,17;0,2;0,55;0,0175;0,0175;0;0,75;0;3,25;0;0;0;0,63;
;20NiCrMoS2-2;1.6526;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;62;7%;212;975;590;10;2;cémentation;1;n/a;0,2;0,2;0,8;0,0175;0,03;0;0,475;0,2;0,55;0;0;0;0,51;
